Specie,Supply_Type,Total_MORFO_Supply_Kg
Inga sp.,supplier_2ry,3.333
Iochroma arborescens,supplier_2ry,0
Jacaranda brasiliana,supplier_2ry,0.003
Jacaranda brasiliana,supplier_top,71.627
Jacaranda copaia,supplier_top,0
Jacaranda cuspidifolia,pilot_top,0.333
Jacaranda cuspidifolia,supplier_top,0
Jacaranda micrantha,supplier_2ry,0.667
Jacaranda micrantha,supplier_top,0.667
Jacaranda mimosifolia,supplier_2ry,23.333
Jacaranda ulei,supplier_top,0
Jacaratia spinosa,pilot_top,903.333
Jacaratia spinosa,supplier_top,0.5
Joannesia princeps,supplier_2ry,106.667
Joannesia princeps,supplier_top,5
Khaya ivorensis,pilot_top,3.333
Khaya sp.,pilot_top,1.333
Kielmeyera coriacea,pilot_top,8
Kielmeyera coriacea,supplier_top,51.667
Kielmeyera sp,supplier_2ry,0.003
Kielmeyera speciosa,pilot_top,0.333
LAGERSTROEMIA SPECIOSA,supplier_2ry,6.667
Lacmellea arborescens,supplier_2ry,16.667
Lafoensia glyptocarpa,supplier_2ry,0.667
Lafoensia glyptocarpa,supplier_top,7.334
Lafoensia pacari,pilot_top,0.333
Lafoensia pacari,supplier_2ry,0.667
Lafoensia pacari,supplier_top,22.13
Lagenaria siceraria,supplier_top,0.333
Lagenaria sp.,supplier_2ry,0.667
Lagenocarpus rigidus,supplier_top,12.667
Laofensia pacari,pilot_top,47.333
Lecythis lurida,supplier_2ry,0.003
Lecythis pisonis,pilot_top,2565.901
Lecythis pisonis,supplier_2ry,136.666
Leopoldinia pulchra,supplier_2ry,66.667
Lepidaploa aurea,supplier_top,165
Leptobalanus sclerophyllus,pilot_top,0.333
Leptolobium dasycarpum,pilot_top,0.333
Leptolobium dasycarpum,supplier_top,24
Leptolobium nitens,supplier_top,6.333
Leucochloron incuriale,supplier_2ry,0.667
Libidibia ferrea,pilot_top,12.001
Licania tomentosa,pilot_top,0.55
Lithraea molleoides,supplier_2ry,2.667
Lithraea molleoides,supplier_top,0
Lonchocarpus cultratus,supplier_top,1.667
Lophanthera lactescens,pilot_top,0.267
Loudetiopsis chrysothrix,supplier_top,98.667
Luehea divaricata,pilot_top,1.25
Luehea divaricata,supplier_top,48
Luehea grandiflora,supplier_2ry,0.133
Luehea paniculata,pilot_top,0.666
Luetzelburgia praecox,pilot_top,0.333
Mabea angustifolia,supplier_top,0.167
Mabea fistulifera,supplier_2ry,6.667
Mabea fistulifera,supplier_top,380.313
Mabea pohliana,supplier_2ry,1.667
Mabea sp.,supplier_2ry,16.667
Machaerium acutifolium,pilot_top,0.333
Machaerium acutifolium,supplier_2ry,0.003
Machaerium hirtum,pilot_top,0.333
Machaerium hirtum,supplier_2ry,2
Machaerium hirtum,supplier_top,3.167
Machaerium nyctitans,supplier_top,1.067
Machaerium opacum,supplier_top,339.333
Machaerium villosum,supplier_2ry,10.333
Maclura tinctoria,pilot_top,1.133
Maclura tinctoria,supplier_2ry,0
Maclura tinctoria,supplier_top,39.317
Macrolobium sp.,supplier_2ry,16.667
Magonia pubescens,pilot_top,193.983
Magonia pubescens,supplier_2ry,8.336
Magonia pubescens,supplier_top,208.533
Malpighia emarginata,supplier_2ry,0.666
Malpighia punicifolia,pilot_top,3.333
Manihot brachyloba,pilot_top,0.203
Manihot glaziovii,pilot_top,2.533
Manilkara huberi,pilot_top,42.333
Manilkara huberi,supplier_2ry,0.003
Maquira sp.,supplier_2ry,133.334
Margaritaria nobilis,pilot_top,1251.667
Margaritaria nobilis,supplier_2ry,6.673
Marlimorimia contorta,supplier_top,16.667
Matayba guianensis,pilot_top,0.333
